"Qty";"Value";"Device";"Package";"Parts";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"1";"";"AT86RF212";"32QN2";"U1";"AT86RF212 - Low-Power SPI-based 700/800/900 MHz Transceiver";"";"";"";"";"";
"1";"";"BALUN+LP";"BALUN0805";"B1";"Balun + Low Pass Filter";"";"";"";"";"";
"1";"";"PINHD-2X13";"2X13";"JP1";"PIN HEADER";"";"";"";"";"";
"3";"100pF";"C-EUC0402K";"C0402K";"C7, C9, C24";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"10k";"R-EU_R0402";"R0402";"R3";"RESISTOR, European symbol";"";"";"";"";"";
"2";"18pF";"C-EUC0402K";"C0402K";"C1, C4";"CAPACITOR, European symbol";"";"";"";"";"";
"7";"1uF";"C-EUC0402K";"C0402K";"C2, C3, C5, C6, C8, C26, C27";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"220nF";"C-EUC0402K";"C0402K";"C13";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"24LC128-I/SN";"24LC128-I/SN";"SOIC127P600X175-8N";"U2";"128K I2C CMOS Serial EEPROM";"24LC128-I/SN";"9757937";"12C2008";"SOIC-8";"MICROCHIP";
"2";"4k7";"R-EU_R0402";"R0402";"R9, R10";"RESISTOR, European symbol";"";"";"";"";"";
"1";"CRYSTALX22";"CRYSTALX22";"X22";"Q1";"";"";"";"";"";"";
"1";"HEXAKRAKE";"HEXAKRAKE";"HEXAKRAKE";"U$1";"";"";"";"";"";"";
